"Table 051-0056 Estimates of population by census metropolitan area, sex and age group for July 1, based on the Standard Geographical Classification (SGC) 2011, annual (persons)(1,2,3,4,5,7,8)"
Survey or program details:
"Estimates of Population by Age and Sex for Census Divisions, Census Metropolitan Areas and Economic Regions (Component Method) - 3608"
Geography,Sex,Age group (6),2014
"Montréal, Quebec [24462] ",Both sexes,0 to 4 years,226900
"Montréal, Quebec [24462] ",Both sexes,5 to 9 years,217483
"Montréal, Quebec [24462] ",Both sexes,10 to 14 years,199491
"Montréal, Quebec [24462] ",Both sexes,15 to 19 years,227351
"Montréal, Quebec [24462] ",Both sexes,20 to 24 years,287307
"Montréal, Quebec [24462] ",Both sexes,25 to 29 years,278544
"Montréal, Quebec [24462] ",Both sexes,30 to 34 years,302095
"Montréal, Quebec [24462] ",Both sexes,35 to 39 years,298522
"Montréal, Quebec [24462] ",Both sexes,40 to 44 years,278438
"Montréal, Quebec [24462] ",Both sexes,45 to 49 years,287957
"Montréal, Quebec [24462] ",Both sexes,50 to 54 years,303523
"Montréal, Quebec [24462] ",Both sexes,55 to 59 years,273784
"Montréal, Quebec [24462] ",Both sexes,60 to 64 years,225086
"Montréal, Quebec [24462] ",Both sexes,65 to 69 years,194633
"Montréal, Quebec [24462] ",Both sexes,70 to 74 years,147139
"Montréal, Quebec [24462] ",Both sexes,75 to 79 years,109775
"Montréal, Quebec [24462] ",Both sexes,80 to 84 years,86317
"Montréal, Quebec [24462] ",Both sexes,85 to 89 years,53471
"Montréal, Quebec [24462] ",Both sexes,90 years and over,29305
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,0 to 4 years,71782
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,5 to 9 years,72538
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,10 to 14 years,69821
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,15 to 19 years,80802
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,20 to 24 years,100413
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,25 to 29 years,97219
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,30 to 34 years,92972
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Both sexes,35 to 39 years,90196
