"Table 153-0153 Households and the environment survey, participation in outdoor activities, Canada, provinces and census metropolitan areas (CMA), every 2 years (percent)(1,2)"
Survey or program details:
Households and the Environment Survey - 3881
Geography,Participation in outdoor activities,2013
"Montréal, Quebec [24462] ",Walking,49
"Montréal, Quebec [24462] ","Jogging, running, rollerblading, cross-country running",11
"Montréal, Quebec [24462] ",Hiking,4
"Montréal, Quebec [24462] ","Football, soccer, field hockey, basketball, volleyball, baseball, rugby, lacrosse, ultimate (frisbee), ball/road hockey",5
"Montréal, Quebec [24462] ","Golfing, croquet, lawn darts, lawn bowling, bocci",2
"Montréal, Quebec [24462] ","Boating, sailing, canoeing, kayaking, rafting, rowing, dragonboating, seadooing",3
"Montréal, Quebec [24462] ","Swimming, going to the beach, surfing, scuba diving, snorkeling",5
"Montréal, Quebec [24462] ",Bicycling,25
"Montréal, Quebec [24462] ",All-terrain vehicle (ATV),F
"Montréal, Quebec [24462] ","Skiing, snowboarding, telemark",4
"Montréal, Quebec [24462] ",Snowmobiling,F
"Montréal, Quebec [24462] ","Cross-country skiing, snowshoeing",4
"Montréal, Quebec [24462] ","Hunting, fishing",F
"Montréal, Quebec [24462] ",Camping,F
"Montréal, Quebec [24462] ","Picnicking, barbecue",5
"Montréal, Quebec [24462] ",Skating,3
"Montréal, Quebec [24462] ","Ice hockey, broomball, curling",F
"Montréal, Quebec [24462] ","Bird watching, photography",F
"Montréal, Quebec [24462] ","Exercise, tai chi, aerobics, yoga",F
"Montréal, Quebec [24462] ",Go to the park/playground,4
"Montréal, Quebec [24462] ",Mountain climbing,F
"Montréal, Quebec [24462] ","Tobogganing, sliding",F
"Montréal, Quebec [24462] ",Geocaching,F
"Montréal, Quebec [24462] ","Badminton, tennis",2
"Montréal, Quebec [24462] ",Other outdoor activities,8
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Walking,59
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Jogging, running, rollerblading, cross-country running",16
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Hiking,11
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Football, soccer, field hockey, basketball, volleyball, baseball, rugby, lacrosse, ultimate (frisbee), ball/road hockey",9
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Golfing, croquet, lawn darts, lawn bowling, bocci",4
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Boating, sailing, canoeing, kayaking, rafting, rowing, dragonboating, seadooing",7
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Swimming, going to the beach, surfing, scuba diving, snorkeling",9
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Bicycling,30
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",All-terrain vehicle (ATV),F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Skiing, snowboarding, telemark",7
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Snowmobiling,F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Cross-country skiing, snowshoeing",6
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Hunting, fishing",F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Camping,F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Picnicking, barbecue",5
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Skating,5
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Ice hockey, broomball, curling",F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Bird watching, photography",F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Exercise, tai chi, aerobics, yoga",F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Go to the park/playground,F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Mountain climbing,F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Tobogganing, sliding",F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Geocaching,F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ","Badminton, tennis",F
"Ottawa-Gatineau, Ontario/Quebec [24505 35505] ",Other outdoor activities,9
"Toronto, Ontario [35535] ",Walking,53
"Toronto, Ontario [35535] ","Jogging, running, rollerblading, cross-country running",12
"Toronto, Ontario [35535] ",Hiking,8
"Toronto, Ontario [35535] ","Football, soccer, field hockey, basketball, volleyball, baseball, rugby, lacrosse, ultimate (frisbee), ball/road hockey",12
"Toronto, Ontario [35535] ","Golfing, croquet, lawn darts, lawn bowling, bocci",3
"Toronto, Ontario [35535] ","Boating, sailing, canoeing, kayaking, rafting, rowing, dragonboating, seadooing",2
"Toronto, Ontario [35535] ","Swimming, going to the beach, surfing, scuba diving, snorkeling",7
"Toronto, Ontario [35535] ",Bicycling,22
"Toronto, Ontario [35535] ",All-terrain vehicle (ATV),F
"Toronto, Ontario [35535] ","Skiing, snowboarding, telemark",2
"Toronto, Ontario [35535] ",Snowmobiling,F
"Toronto, Ontario [35535] ","Cross-country skiing, snowshoeing",1
"Toronto, Ontario [35535] ","Hunting, fishing",F
"Toronto, Ontario [35535] ",Camping,1
"Toronto, Ontario [35535] ","Picnicking, barbecue",4
"Toronto, Ontario [35535] ",Skating,3
"Toronto, Ontario [35535] ","Ice hockey, broomball, curling",1
"Toronto, Ontario [35535] ","Bird watching, photography",F
